ID,Headline,Category,Label
1,"Golden, gaudy and glorious: Dubai has the world's tallest building and biggest airport... is it about to overtake London as the most visited city?",travel,4.0
2,British tourists charged over £ 180 million for withdrawing money from overseas cash machines last year ( with the average atm costing at least £ 5 a pop ),travel,2.3333333333333335
3,Cancer left Eric With half his face missing and unable to eat or drink. now surgeons have made him a new face using a 3d printer,health,4.5
4,"Sorry, i spent it on myself! Harvey Nichols' hilarious Christmas advert sees people treating themselves instead of others",femail,3.3333333333333335
5,Luis Suarez's bite has ensured his legacy as a sporting rogue... but which other star villains make it into our hall of shame?,sport,4.0
6,"Half of Britons admit snooping through texts, emails and internet searches on a partner's mobile... and women are the worst culprits",femail,3.6666666666666665
7,Don't leave her hanging! radio Dj gets stuck on Uk's first ever city Centre zip wire... 115 feet above Liverpool Shopping District,travel,4.0
8,"'If people get snotty about me, i just think get a life!': Monty Don tells us that he couldn't give a hoot what people think",gardening,4.0
9,"'It's my money and i can do what i want!' meet the shameless single mother who says she lives a 'blessed life' on benefits and will only get a job if it pays £ 5,000 a month",femail,3.3333333333333335
10,Taj Mahal reveals its secrets: remains of Emperor Shah Jahan's summer palace found opposite 350-year-old wonder,sciencetech,3.3333333333333335
11,America the miserable? half of residents of Illinois and Connecticut wish they could move ( but people in Montana and Hawaii are happy staying put ),news,3.3333333333333335
12,"Will you be my Mrs Santa! romantic boyfriend surprises his partner by asking her to become his very merry Mrs Christmas ( yup, that's his name )",femail,2.6666666666666665
13,New Hrt drug may help to prevent breast cancer in British women,health,2.0
14,Seconds away from disaster: dramatic moment two planes almost collide on runway at Barcelona Airport caught on video,travel,2.5
15,Would you go vegan for Beyonce? singer launches meat-free meals-on-wheels after completing 22-day 'plant-based' challenge,food,4.0
16,Liverpool Boss Brendan Rodgers confirms Lazar Markovic is nearing full fitness and could play against Southampton in Reds' first Premier league match of the season,football,1.6666666666666667
17,"Luke Shaw and Calum Chambers should not view England snub as a punishment, claims Gareth Southgate after call-up to U21 Squad",football,2.3333333333333335
18,Can you imagine wonder woman as a battered wife? artist redraws strong female cartoon characters to shine a disturbing light on domestic violence,femail,3.6666666666666665
19,Aaron Ramsey dedicates Galatasaray victory to under-fire boss Arsene Wenger: 'we wanted to get the result for him',football,2.3333333333333335
20,Cesc Fabregas played his role to perfection as Chelsea tore West Brom apart... and the midfielder is a shoo-in to break Thierry Henry's record of 20 assists this year,football,3.0
21,"Could depression be an infectious disease? condition is caused by parasites, bacteria or virus and could be prevented with a jab, expert claims",health,4.0
22,Couple who never spent a day apart in 68 years of marriage die within hours of each other,news,2.6666666666666665
23,Chelsea warn fans they will ban anyone using Anti-Semitic language during Capital one cup final against Tottenham,football,3.0
24,Martin Odegaard has signed for Real Madrid at the age of just 16... here are 10 other teenagers the top clubs are keeping track of,football,2.6666666666666665
25,The newest superfood? walking-and experts say it's far better for you than intense bursts of exercise,health,4.0
26,Now you can finish dinner with espresso! coffee-addict creates caffeine-free version of the hot drink made from tea,food,3.3333333333333335
27,"Could giant walls protect the midwest from tornadoes? barriers would thwart storm threat forever, claims physicist",sciencetech,3.3333333333333335
28,"Little girl, 5, can not play outside in the sun due to rare skin condition that leaves her covered in painful scales",health,2.3333333333333335
29,"It's not just about looks! America's men describe their 'perfect woman' as blonde, with blue eyes-and a graduate degree",femail,2.6666666666666665
30,Arsene Wenger wants Arsenal to honour Thierry Henry with more than just a statue outside the Emirates ( a new ground name? ),football,3.6666666666666665
31,'I was having twelve orgasms a day!' woman left almost permanently aroused after developing a rare medical condition,femail,3.3333333333333335
32,Robin Van Persie can't wait to team up with Manchester United's New 'wow!' signings,football,2.0
33,"Check in married, check out single! luxury Hotel sells $ 5,000 weekend divorce package complete with golf lessons, spa... and in-house lawyer",travelnews,4.0
34,"Bring baby along! toddler-proof rooms, fine kids' menus and armies of babysitters at the world's greatest child-friendly luxury hotels",travel,2.6666666666666665
35,Butter isn't bad for you after all: major study says 80s advice on dairy fats was flawed,health,3.3333333333333335
36,Arsene Wenger licking his lips at prospect of pairing Alexis Sanchez with Theo Walcott in Arsenal's attack,football,2.0
37,Is the Sahara desert twice as old as we thought? climate simulations suggest it may have formed 7 million years ago,sciencetech,4.0
38,Robin Van Persie names Fellow Strikers Wayne Rooney and Radamel Falcao in Dream Manchester United five-a-side team,football,2.0
39,"Mario Balotelli being investigated by police for 'threatening' a woman and leaving her 'frightened and speechless' for taking pictures of his £ 240,000 red ferrari",football,4.333333333333333
40,Muslim soldier found guilty of deadly terror plot after being forced to wear mask in court to stop him spitting Hiv-infected blood,news,2.6666666666666665
41,"Roy Keane isn't just serious... he loves a laugh, says Aston Villa boss Paul Lambert",football,2.0
42,"Vince Cable, the first man on Mars? no, he's just unveiling a red planet simulator in Stevenage to teach future rovers",sciencetech,4.0
43,Mesut Ozil says Arsenal can win Premier League and get to Champions League final,football,2.0
44,Sold out by 5 am! net-a-porter sells nearly $ 200k worth of Karl Lagerfeld Barbies in one morning,femail,4.666666666666667
45,Entire Wedding Party goes down with food poisoning during the reception -- and the bride and groom were so busy they didn't even notice,news,3.0
46,"First Firefox, now apple: tech firm may be about to ditch Google-and it could be working on a search engine of its own",sciencetech,4.0
